Name,Main,Secondary,Input Device,Country,twitter,youtube,twitch,First tournament (month/year),Preferred maiden sprite (gonna possibly have to ignore a lot of this if i'm going to represent mains),pronouns,blurb
iLLy,Lich,Sun,Controller,USA,https://twitter.com/LLusionary,https://www.youtube.com/channel/UCsR1HCdhc21CWKmn6Ba-Uzg,,June 2020,blue sun charging,he,
nix,Arc,Wyrm Frost,Controller,USA,,,,May 2020,Arc,he,
Centispede,Sun,,Controller,FIN,,,,July 2020,sun,he,
Jayfeather6,Frost,Lich Depth,Controller,USA,,,,May 2020,Frost,he,
Xorn,Lich,,Keyboard,BRA,,,,July 2020,:mnsSlain:,he,
A1NVERSE,Frost,,Fightstick,KOR,https://twitter.com/A1NVERSE,,,March 2020,,he,
Maven,Lich,,,TUR,,,,March 2020,,he,
frog,Red,,Controller,USA,,,,April 2020,in dms,he,
Quetzalcoatl,Red,Depth Arc Sun,Controller,USA,,,,April 2020,Red,he,
kerokero,Sun,Arc,Controller,CAN,,,,March 2020,7 up joke with sun,he,
minkull,Frost Arc Sun Red Lich Depth Storm Wyrm,,Controller,JPN,https://twitter.com/mnkull,,,,,,
Jahvaro,Frost,Lich,Keyboard,USA,,,https://www.twitch.tv/jahvaro,October 2021,no pref,he,
Kiroko,Storm,,Mouse,USA,,,,March 2020,storm,he,
ZaleTheBale,Frost Wyrm Red Storm Arc,,Controller,USA,,,,,in dms,he,
木天明,Red,Frost,Controller Keyboard,HKG,,https://www.youtube.com/channel/UC1-6Z202EsAW9DrjCFXHH1Q,,January 2021,old version of wyrm,,
rem,Sun,Red,Controller,USA,https://twitter.com/remphilia,,,October 2020,blue sun,he,
Hourai,Sun,,,,,,,,,,
auxzilla,Red,,Controller,USA,,,,July 2021,Juice (do red holding it),he,
Winter,,,,,,,,,,,
Kewpie_Kewpie,,,,,,,,,,,
Ueomia,,,,,,,,,,,
Meguca,Wyrm,,,,https://twitter.com/Megucak,,https://www.twitch.tv/meguca,,,she,
rei,,,,,https://twitter.com/the_stunfisker,,,,,,
HoboDessert,Red,,,,,,,,,,
Pug,Sun,,Keyboard,BEL,,,,January 2021,any sun,he,
Tastyfood,,,,,,,,,,,
glitch,,,,,https://twitter.com/NekoGlitch,,,,,,
Saki,Frost,,Controller,BRA,,,,,Lich,he,
Shadowpelt721,Wyrm,,Keyboard,USA,https://twitter.com/shadowclaw77,,,March 2020,,he,
peteru,Red,,Keyboard,BRA,,,,June 2020,Red,"he/she, no pref hmm do i leave it blank",
Dino,Red,Arc,Controller,USA,https://twitter.com/someodddino,,,March 2020,Red,he,
Hydroclopse,Red,,Controller,USA,,,,March 2021,,,
games,,,,,,,,,,,
blasterthefox,,,,,,,,,,,
bubbles_71,,,,,,,,,,,
Airvent,Depth,Lich,Keyboard,USA,,https://www.youtube.com/channel/UCzSBJYEdMQcTQHkyCG8FSlw,,April 2020,Frost,he,
qwwert,Wyrm,,Controller,USA,https://twitter.com/qwwerttttt,,,January 2021,wyrm default,she,
Atchinson,Frost,Red,Controller,USA,,,,April 2021,Frost alt,he,
TruXai,,,,,,,,,,,
yllt,Arc,,Controller,JPN,https://twitter.com/YuuTouwa,,,May 2021,arc,he,
gameringering,Frost,Red,Controller,USA,https://twitter.com/gamergoddessmo,,,September 2021,,she,
