ID,Date,Tourney Name,Link,Entrant Count,Tourney Tier,1st,2nd,3rd,4th,5th,5th,7th,7th,9th,9th,9th,9th
0,"January 16, 2021",Awakening the Maiden 18,https://atcfgc.challonge.com/AtM18,15,3,iLLy,nix,Jayfeather6,Quetzalcoatl,Meguca,Hourai,Xorn,Airvent,NoogleNebbs,qwwert,blasterthefox,Shadowpelt721
1,"January 23, 2021",Trial by Tourney 2,https://challonge.com/TRIALBYTOURNEY2,32,1,iLLy,minkull,A1NVERSE,Maven,Ueomia,木天明,ZaleTheBale,Jayfeather6,Centispede,frog,Hourai,rei
2,"January 30, 2021",Made in Heaven 1,https://challonge.com/madeinheavenmns,18,5,qwwert,HoboDessert,VecZ,Saki,jackpot_sandwich,Girthquake,Rubíes,RedsToad,afjio1230,Muse,AuraDude,glitch
3,"January 31, 2021",Awakening the Maiden 19,https://atcfgc.challonge.com/AtM19,20,3,iLLy,nix,Jayfeather6,Meguca,Quetzalcoatl,Centispede,Saki,Hourai,Winter,peteru,RedsToad,Ryful_z3
4,"February 14, 2021",Awakening the Maiden 20,https://atcfgc.challonge.com/AtM20,13,3,iLLy,nix,Jayfeather6,Centispede,kerokero,peteru,Meguca,Shadowpelt721,blasterthefox,Landkon2,HoboDessert,rollingcrow
5,"February 21, 2021",Quarantined Rapport 3,https://quarterlyrapport.challonge.com/quar3mns,28,2,iLLy,Kiroko,A1NVERSE,Jayfeather6,Tastyfood,Winter,Saki,Xorn,Dino,peteru,Meguca,kerokero
6,"February 28, 2021",Awakening the Maiden 21,https://atcfgc.challonge.com/AtM21,12,3,nix,Jayfeather6,iLLy,Winter,Meguca,Centispede,Shadowpelt721,HoboDessert,NEsoup,rollingcrow,drwolffie,
7,"March 13, 2021",Made in Heaven 2,https://challonge.com/madeinheaven2smns,8,5,Pug,RedsToad,Hydroclopse,rollingcrow,funnyplanet,Hgcwarrior,NEsoup,Salty_Gun,,,,
8,"March 14, 2021",Awakening the Maiden 22,https://atcfgc.challonge.com/AtM22,10,3,nix,iLLy,Jayfeather6,kerokero,Centispede,HoboDessert,drive0,rollingcrow,blasterthefox,Shadowpelt721,,
9,"March 28, 2021",Awakening the Maiden 23,https://atcfgc.challonge.com/AtM23,7,4,Centispede,Winter,games,blasterthefox,HoboDessert,Shadowpelt721,NekoSilviu,,,,,
10,"April 10, 2021",Maiden's Second Chance,https://challonge.com/MaidensSecondChance,15,3,iLLy,nix,Jayfeather6,Centispede,HoboDessert,Meguca,Pug,Girthquake,RedsToad,bubbles_71,Shadowpelt721,MishaFoartes
11,"April 11, 2021",Awakening the Maiden 24,https://atcfgc.challonge.com/AtM24,11,3,Jayfeather6,Quetzalcoatl,Winter,Pug,kerokero,blasterthefox,HoboDessert,Ryful_z3,Atchinson,MishaFoartes,Shadowpelt721,
12,"April 20, 2021",Beta Spell 1,https://challonge.com/BetaSpell,13,3,nix ,iLLy,frog,Jayfeather6,Pug,kerokero,HoboDessert,Meguca,Atchinson,blasterthefox,Hydroclopse,Ryful_z3
13,"April 23, 2021",Beta Spell 2,https://challonge.com/BetaSpell2,10,3,nix,ZaleTheBale,Jayfeather6,Pug,HoboDessert,kerokero,TruXai,Atchinson,Shadowpelt721,bubbles_71,,
14,"April 25, 2021",Awakening the Maiden 25,https://atcfgc.challonge.com/AtM25,9,3,Jayfeather6,Hourai,Centispede,HoboDessert,Xorn,Shadowpelt721,Atchinson,blasterthefox,MishaFoartes,,,
15,"May 1, 2021",Made in Heaven 3,https://challonge.com/mih3mns,16,5,yllt,BigBossRabbit,Girthquake,Atchinson,NEsoup,bubbles_71,MeeperMantis,Cpt_Magemo,PundaNeko,Luminaree,TheRoseWitch,Paladin_M
16,"May 4, 2021",Beta Spell 3,https://challonge.com/BetaSpell3,12,3,iLLy,nix,Jayfeather6,HoboDessert,Meguca,kerokero,Atchinson,Hydroclopse,Kero,Shadowpelt721,blasterthefox,bubbles_71
17,"May 9, 2021",Awakening the Maiden 26,https://atcfgc.challonge.com/AtM26,11,3,Centispede,Hourai,HoboDessert,Jayfeather6,Xorn,iLLy,bubbles_71,Atchinson,Ryful_z3,Shorakyn,Cpt_Magemo,
18,"May 14, 2021",Beta Spell 4,https://challonge.com/BetaSpell4,7,3,Jayfeather6,Kiroko,Pug,Hourai,bubbles_71,HoboDessert,Shadowpelt721,,,,,
19,"May 16, 2021",Beta Spell 5,https://challonge.com/BetaSpell5,15,3,Kiroko,iLLy,Centispede,Hourai,Jayfeather6,Pug,Meguca,Atchinson,glitch,Ryful_z3,HoboDessert,Shadowpelt721
20,"May 23, 2021",Awakening the Maiden 27,https://atcfgc.challonge.com/AtM27,8,3,iLLy,Jayfeather6,HoboDessert,Meguca,Centispede,Hourai,bubbles_71,NekoSilviu,,,,
21,"June 6, 2021",Awakening the Maiden 28,https://atcfgc.challonge.com/AtM28,6,4,Jayfeather6,HoboDessert,Centispede,Atchinson,NekoSilviu,Shadowpelt721,,,,,,
22,"June 20, 2021",Awakening the Maiden 29,https://atcfgc.challonge.com/AtM29,10,3,iLLy,nix,kerokero,HoboDessert,Jayfeather6,Pug,NoogleNebbs,Atchinson,bubbles_71,glitch,,
23,"July 4, 2021",Awakening the Maiden 30,https://atcfgc.challonge.com/AtM30,7,4,Centispede,HoboDessert,Shadowpelt721,blasterthefox,bubbles_71,auxzilla,NekoSilviu,,,,,
24,"July 18, 2021",Awakening the Maiden 31,https://atcfgc.challonge.com/AtM31,6,4,kerokero,HoboDessert,Meguca,bubbles_71,Ryful_z3,Shadowpelt721,,,,,,
25,"August 1, 2021",Awakening the Maiden 32,https://atcfgc.challonge.com/AtM32,8,3,iLLy,Centispede,HoboDessert,Meguca,Winter,blasterthefox,Shadowpelt721,Ryful_z3,,,,
26,"August 15, 2021",Awakening the Maiden 33,https://atcfgc.challonge.com/AtM33,13,3,iLLy,nix,rem,Pug,Centispede,HoboDessert,auxzilla,TruXai,bubbles_71,Shadowpelt721,Meguca,Saki
27,"August 29, 2021",Awakening the Maiden 34,https://atcfgc.challonge.com/AtM34,12,3,rem,nix,Centispede,Pug,HoboDessert,TruXai,Ryful_z3,auxzilla,SrAkuma,Shadowpelt721,RedsToad,
28,"September 12, 2021",Awakening the Maiden 35,https://atcfgc.challonge.com/AtM35,9,3,nix,auxzilla,Pug,Hourai,gameringering,iLLy,Shadowpelt721,drive0,,,,
29,"September 17, 2021",Maiden & Surprise 2,https://challonge.com/MaidenAndSurprise2,12,3,Jayfeather6,kerokero,Pug,auxzilla,iLLy,Meguca,Quetzalcoatl,HoboDessert,Kewpie_Kewpie,nayvin,rollingcrow,Shadowpelt721
30,"September 25, 2021",Trial by Tourney 3,https://challonge.com/TRIALBYTOURNEY3,32,1,iLLy,nix,Quetzalcoatl,Centispede,kerokero,木天明,rei,rem,Jayfeather6,Hourai,A1NVERSE,Pug
31,"October 10, 2021",Awakening the Maiden 36,https://atcfgc.challonge.com/AtM36,7,4,Centispede,rem,auxzilla,iLLy,HoboDessert,Ryful_z3,Kewpie_Kewpie,,,,,
32,"October 23, 2021",Little Maiden That Could 1,https://challonge.com/LMTC1,10,5,Kewpie_Kewpie,PinkySmile,keko,WikiJippo,TripelTheFox,Hgcwarrior,hoopy_frood,AceJPx,OSPenguinos,Paladin_M,,
33,"October 24, 2021",Awakening the Maiden 37,https://atcfgc.challonge.com/AtM37,7,4,iLLy,auxzilla,Centispede,Shadowpelt721,Pug,Xorn,Ryful_z3,,,,,
34,"November 13, 2021",Quarantined Rapport 4,https://quarterlyrapport.challonge.com/quar4mns,22,2,Xorn,Jayfeather6,ZaleTheBale,kerokero,Jahvaro,auxzilla,Kewpie_Kewpie,glitch,Pug,Hydroclopse,HoboDessert,Meguca
35,"December 5, 2021",Awakening the Maiden 38,https://atcfgc.challonge.com/AtM38,6,4,iLLy,HoboDessert,Kewpie_Kewpie,Airvent,Ryful_z3,Shadowpelt721,,,,,,
36,"December 11, 2021",Novi Global,https://challonge.com/noviglobal,19,2,iLLy,Centispede,Maven,Jayfeather6,Jahvaro,Kewpie_Kewpie,auxzilla,kerokero,HoboDessert,glitch,Meguca,Airvent
37,"December 19, 2021",Awakening the Maiden 39,https://atcfgc.challonge.com/Atm39,17,1,iLLy,nix,frog,Jahvaro,Maven,Jayfeather6,Xorn,Centispede,Meguca,kerokero,auxzilla,Kewpie_Kewpie
